序号,高校名称,城市,院校档次,办学性质,软科排名,就业中心-官网,就业中心-公众号,就业中心-邮箱,就业中心-电话,研究生院-官网,研究生院-公众号,研究生院-邮箱,研究生院-电话,国际处-官网,国际处-公众号,国际处-邮箱,国际处-电话,备注
1,上海交通大学,,985,公办,,,,,,,,,,https://global.sjtu.edu.cn/,,globalsjtu@sjtu.edu.cn,021-34206753,
2,华东师范大学,,985,公办,,https://career.ecnu.edu.cn/,,,,https://yjszs.ecnu.edu.cn/,华东师大研招（ECNUyjs）,yjszs@admin.ecnu.edu.cn,021-54344721,http://lxs.ecnu.edu.cn/,,lxs@ecnu.edu.cn,,
3,同济大学,,985,公办,,https://www.tongji.edu.cn/zsjy.htm,,newscenter@tongji.edu.cn,009102000038,http://gs.tongji.edu.cn/,,,,http://fao.tongji.edu.cn/,,,2165982612,
4,复旦大学,,985,公办,,https://www.fudan.edu.cn/2019/0506/c431a103172/page.htm,,career@fudan.edu.cn,8621-65642288; 021-65642222,https://www.fudan.edu.cn/516/list.htm,,,021-65642222,https://ogp.fudan.edu.cn/16077/list.htm,,,021-65642260; 021-65649524,
5,上海外国语大学,,211,公办,,https://www.shisu.edu.cn/admissions/index.html,,,,,,,,https://oice.shisu.edu.cn/,,,,
6,上海大学,,211,公办,,https://www.shu.edu.cn/zsjy.htm,,,021-96928188; 009102000049,https://yjszs.shu.edu.cn/,,,02166133763,https://global.shu.edu.cn/,上海大学留学生公众号,,,
7,上海财经大学,,211,公办,,https://career.sufe.edu.cn/,,jyzd@mail.shufe.edu.cn,021-65904215,https://gs.sufe.edu.cn/,,yjsy@mail.shufe.edu.cn; yzb@mail.shufe.edu.cn,021-65904625; 021-65903795,https://ieco.shufe.edu.cn/,相关宣传连接中报名欢迎广大师生积极参与,ieco@mail.sufe.edu.cn,,
8,东华大学,,211,公办,,http://ejob.dhu.edu.cn/,扫描左侧二维码获取最新资讯,pluswin6@pluswin-china.com; houzhiqi@sh.chinalife-p.com.cn; job@dhu.edu.cn,021-67792486,http://gs.dhu.edu.cn/,,yjsdep@dhu.edu.cn,,https://ico.dhu.edu.cn/,,ico@dhu.edu.cn,,
9,华东理工大学,,211,公办,,https://www.ecust.edu.cn/585/list.htm,,,009102000037,http://gschool.ecust.edu.cn/,,,15710144202,http://kjc.ecust.edu.cn/8373/list.htm,,,,
10,第二军医大学,,211,公办,,,,,,,,,,,,,,官网不可达：军队院校，国际处信息不公开
11,上海中医药大学,,双一流,公办,,https://jy.shutcm.edu.cn/,,,17875834001,http://yjsy.shutcm.edu.cn,,,,https://gjc.shutcm.edu.cn/,,,,
12,上海体育学院,,双一流,公办,,,,,,,,,,https://wsc.sus.edu.cn/,,,,官网不可达：官网未知
13,上海海洋大学,,双一流,公办,,https://jcxt.shou.edu.cn/,,,,http://yjs.shou.edu.cn/13946/list.htm,,,,https://ieo.shou.edu.cn/,,ieo@shou.edu.cn,,
14,上海科技大学,,双一流,公办,,https://career.shanghaitech.edu.cn/,,,18120716234; 032613120834; 032613131827,,,,,https://oia.shanghaitech.edu.cn/,,,,
15,上海音乐学院,,双一流,公办,,,,,,,,,,https://www.shcmusic.edu.cn/1449/list.htm,,,17816874; 7889684; 67262574,
